block_start,block_end,average_distance
1,9,0.4058583984375
2,10,0.39820849609375
3,11,0.384713134765625
4,12,0.38441162109375
5,13,0.369826904296875
6,14,0.36771435546875
7,15,0.355096435546875
8,16,0.3565478515625
9,17,0.365928466796875
10,18,0.3820185546875
11,19,0.37785888671875
12,20,0.386818603515625
13,21,0.37727685546875
14,22,0.369457275390625
15,23,0.3536982421875
16,24,0.331310546875
17,25,0.30995703125
18,26,0.27662548828125
19,27,0.2481602783203125
20,28,0.240196044921875
21,29,0.244897216796875
22,30,0.2461971435546875
23,31,0.278482666015625
24,32,0.416239501953125
